iso3c,year,life_expect,birth_rate,neonat_mortal_rate
AND,1994,NA,10.9,3.2
AND,1995,NA,11,3
AND,2006,NA,10.6,1.9
AND,2007,NA,10.1,1.8
AND,1996,NA,10.9,2.8
AND,1993,NA,11.4,3.4
AND,1997,NA,11.2,2.6
AND,1998,NA,11.9,2.4
AND,2008,NA,10.4,1.8
AND,2009,NA,9.9,1.7
AND,2001,NA,11.8,2.1
AND,1991,NA,11.9,4
AND,2005,NA,10.7,1.9
AND,2012,NA,9.5,1.6
AND,2003,NA,10.3,2
AND,1999,NA,12.6,2.3
AND,2011,NA,NA,1.6
AND,1990,NA,11.9,4.3
AND,2002,NA,11.2,2.1
AND,2015,NA,NA,1.4
AND,2004,NA,10.9,2
AND,1992,NA,12.1,3.7
AND,2013,NA,NA,1.5
AND,2010,NA,9.8,1.7
AND,2000,NA,11.3,2.2
AND,2014,NA,NA,1.5
ARE,1999,74.1871707317073,17.018,5.8
ARE,2000,74.4515365853659,16.399,5.6
ARE,2007,76.1111707317073,12.814,4.7
ARE,2011,76.8511951219512,11.514,4.1
ARE,2014,77.3681707317073,10.819,3.6
ARE,2006,75.9045365853659,13.255,4.9
ARE,2012,77.0241463414634,11.273,4
ARE,1998,73.9202195121951,17.703,6
ARE,2008,76.307756097561,12.423,4.6
ARE,1996,73.3839268292683,19.309,6.4
ARE,2015,NA,NA,3.5
ARE,1997,73.6526585365854,18.466,6.2
ARE,2010,76.675243902438993,11.778,4.3
ARE,1995,73.1150731707317,20.239,6.6
ARE,2005,75.6863902439025,13.735,5
ARE,2013,77.1956341463415,11.044,3.8
ARE,2001,74.7128780487805,15.829,5.5
ARE,2003,75.2172195121951,14.759,5.2
ARE,1994,72.8455853658537,21.263,6.9
ARE,2009,76.4947804878049,12.079,4.5
ARE,2002,74.9682682926829,15.287,5.4
ARE,1991,72.0122926829268,24.649,7.9
ARE,1990,71.7201463414634,25.768,8.2
ARE,1992,72.2964146341463,23.501,7.6
ARE,1993,72.5730243902439,22.36,7.3
ARE,2004,75.4572682926829,14.24,5.1
AFG,2014,60.3744634146342,34.225,36.1
AFG,1998,54.4027317073171,48.93,46.1
AFG,2013,60.0282682926829,35.253,36.8
AFG,1997,54.0178292682927,49.036,47
AFG,2000,55.1258780487805,48.332,45.2
AFG,2012,59.6796097560976,36.396,37.4
AFG,1996,53.6020487804878,49.039,47.5
AFG,1993,52.0218780487805,48.839,49.9
AFG,1999,54.7672682926829,48.699,45.6
AFG,1995,53.1393902439024,48.978,48.2
AFG,2009,58.6036829268293,40.265,39.1
AFG,2004,56.6263170731707,45.761,42.5
AFG,2003,56.2352926829268,46.538,43.2
AFG,1994,52.6143414634146,48.898,49.1
AFG,2008,58.2250243902439,41.56,39.8
AFG,2010,58.9708292682927,38.94,38.7
AFG,2007,57.8338292682927,42.779,40.4
AFG,2015,NA,NA,35.5
AFG,2011,59.3279512195122,37.636,38.1
AFG,1991,50.6409756097561,48.896,51.9
AFG,2001,55.4875365853659,47.835,44.5
AFG,2002,55.8571951219512,47.23,43.9
AFG,1990,49.8610487804878,49.029,52.8
AFG,1992,51.3629268292683,48.834,50.9
AFG,2006,57.4325609756098,43.893,41
AFG,2005,57.027243902439,44.887,41.7
ATG,1993,71.8658536585366,19.274,12.9
ATG,2007,74.8032195121951,17.849,6.9
ATG,1992,71.6347073170732,19.047,13.5
ATG,2006,74.6181463414634,18.214,7.2
ATG,2014,75.9376341463415,16.319,5.1
